Brand,Protein,Fat,Carbs
4Health Dog Food Review (Dry),26%,15%,Not Available
4Health Grain Free Dog Food Review (Dry),26%,15%,Not Available
A Pup Above Whole Food Cubies Dog Food Review (Dehydrated),30%,19%,Not Available
Abound Dog Food Review (Dry),22%,13%,Not Available
Acana Classics Dog Food Review | Canada (Dry),29%,17%,Not Available
Acana Dog Food Review (Dry),29%,17%,Not Available
Acana Heritage Dog Food Review | Canada (Dry),31%,17%,Not Available
Acana Highest Protein Dog Food Review (Dry),33%,17%,Not Available
Acana Highest Protein Dog Food Review | Canada (Dry),35%,17%,Not Available
Acana Limited Ingredient Singles Dog Food Review (Dry),31%,17%,Not Available
Acana Singles Dog Food Review | Canada (Dry),31%,15%,Not Available
Addiction Dog Food Review (Dehydrated),22%,12%,Not Available
Addiction Dog Food Review (Dry),24%,12%,Not Available
Adirondack Dog Food Review (Dry),30%,20%,Not Available
Alpo Dog Food Review (Dry),18%,9%,Not Available
American Journey Limited Ingredient Dog Food Review (Dry),25%,12%,Not Available
American Journey Protein & Grains Dry Dog Food Review,25%,15%,Not Available
American Natural Premium Dog Food Review (Dry),25%,16%,Not Available
American Natural Premium Grain Free Dog Food Review (Dry),28%,15%,Not Available
Ancestry Dog Food Review (Dry),32%,16%,Not Available
Annamaet Dog Food Review (Dry),25%,14%,Not Available
Annamaet Grain Free Dog Food Review (Dry),30%,16%,Not Available
Apex Dog Food Review (Dry),26%,18%,Not Available
Artemis Fresh Mix Dog Food Review (Dry),23%,14%,Not Available
Artemis Osopure Grain Free Limited Ingredient Formula Dog Food Review (Dry),24%,14%,Not Available
Authority Dog Food Review (Dry),30%,20%,Not Available
Authority Grain Free Dog Food Review (Dry),25%,12%,Not Available
Authority Tender Blends Dog Food Review (Dry),25%,12%,Not Available
AvoDerm Natural Dog Food Review (Dry),23%,13%,Not Available
AvoDerm Natural Grain Free Dog Food Review (Dry),27%,12%,Not Available
AvoDerm Natural Revolving Menu Dog Food Review (Dry),26%,16%,Not Available
Azmira Dog Food Review (Dry),22%,8%,Not Available
Beaverdam Dog Food Review (Dry),27%,12%,Not Available
Ben’s Best Dog Food Review (Dry),21%,8%,Not Available
Bench and Field Dog Food Review (Dry),24%,15%,Not Available
Beneful Dog Food Review (Dry),23%,12%,Not Available
Berkley Jensen Dog Food Review (Dry),25%,14%,Not Available
Big Red Dog Food Review (Dry),22%,12%,Not Available
Bil-Jac Dog Food Review (Dry),27%,18%,Not Available
Bil-Jac Farmer’s Bounty Dog Food Review (Dry),28%,18%,Not Available
Bil-Jac Picky No More Dog Food Review (Dry),26%,15%,Not Available
Bixbi Liberty Dog Food Review (Dry),26%,17%,Not Available
Bixbi Rawbble Dog Food Review (Dry),30%,17%,Not Available
Black Gold Explorer Dog Food Review (Dry),26%,18%,Not Available
Black Gold Explorer Grain Free Dog Food Review (Dry),30%,16%,Not Available
Blackwood All Life Stages Special Diet Dog Food Review (Dry),25%,14%,Not Available
Blackwood Everyday Recipes Dog Food Review (Dry),24%,14%,Not Available
Blackwood Original Recipe Dog Food Review (Dry),23%,12%,Not Available
Blue Buffalo Basics Dog Food Review (Dry),20%,12%,Not Available
Blue Buffalo Basics Grain Free Dog Food Review (Dry),20%,12%,Not Available
Blue Buffalo Dog Food Review,24%,14%,Not Available
Blue Buffalo Freedom Grain Free Dog Food Review (Dry),24%,14%,Not Available
Blue Buffalo Wilderness Nature’s Evolutionary Diet Dog Food Review (Dry),34%,15%,Not Available
Blue Buffalo Wilderness Rocky Mountain Recipe Dog Food Review (Dry),30%,15%,Not Available
Blue Seal Classics Dog Food Review (Dry),26%,12%,Not Available
Blue Seal EnTrust Dog Food Review (Dry),24%,14%,Not Available
Boka Dog Food Review (Dry),25%,15%,Not Available
Bonafide Dog Food Review (Dry),24%,12%,Not Available
Boreal Original Grain Free Dog Food Review (Dry),28%,18%,Not Available
Born Free Dog Food Review (Dry),27%,16%,Not Available
Bravo Homestyle Complete Dog Food Review (Freeze-Dried),38%,13%,Not Available
Breakaway Dog Food Review (Dry),23%,10%,Not Available
Brothers Complete Advanced Allergy Care Dog Food Review (Dry),36%,16%,Not Available
Brothers Complete Dog Food Review (Dry),36%,15%,Not Available
Bully Max High Performance Dog Food Review (Dry),30%,20%,Not Available
By Nature Dog Food Review (Dry),29%,17%,Not Available
Caliber Dog Food Review (Dry),21%,10%,Not Available
Canidae Dog Food Review,24%,10%,Not Available
Canidae Pure Grain Free Dog Food Review (Dry),30%,14%,Not Available
Canidae Under the Sun Grain Free Dog Food Review (Dry),26%,11%,Not Available
Canine Caviar Limited Ingredient Dog Food Review (Dry),25%,15%,Not Available
Canine Naturals Dog Food Review (Dry),25%,14%,Not Available
Canine Naturals Grain Free Dog Food Review (Dry),28%,12%,Not Available
CaniSource Grand Cru Dog Food Review (Dehydrated),27%,16%,Not Available
Carna4 Dog Food Review (Dry),28%,17%,Not Available
Castor and Pollux Organix Grain-Free Dog Food Review (Dry),26%,15%,Not Available
Castor and Pollux Pristine Grain Free Dog Food Review (Dry),32%,16%,Not Available
Cesar Dog Food Review (Dry),26%,13%,Not Available
Chicken Soup for the Soul Dog Food Review (Dry),25%,13%,Not Available
Chicken Soup for the Soul Grain Free Dog Food Review (Dry),27%,14%,Not Available
Costco Kirkland Dog Food Review (Dry),26%,16%,Not Available
Country Magic Dog Food Review (Dry),21%,10%,Not Available
Country Squire Dog Food Review (Dry),21%,10%,Not Available
Country Vet Choice Dog Food Review | Rating | Recalls,26%,18%,Not Available
Country Vet Naturals Dog Food Review (Dry),24%,14%,Not Available
Country Vet Premium Dog Food Review (Dry),26%,18%,Not Available
Crave Dog Food Review (Dry),34%,17%,Not Available
Dave’s Dog Food Review (Dry),25%,10%,Not Available
Defender Dog Food Review (Dry),21%,8%,Not Available
Diamond Care Dog Food Review (Dry),25%,13%,Not Available
Diamond Dog Food Review (Dry),22%,12%,Not Available
Diamond Naturals Dog Food Review (Dry),25%,15%,Not Available
Diamond Naturals Grain Free Dog Food Review (Dry),24%,14%,Not Available
Doc’s Choice Dog Food Review (Dry),23%,13%,Not Available
Dog Power Dog Food Review (Dry),26%,16%,Not Available
Doggy Bag Dog Food Review (Dry),18%,6%,Not Available
Dogswell Nutrisca Dog Food Review (Dry),30%,16%,Not Available
Dr. Gary’s Best Breed Dog Food Review (Dry),25%,13%,Not Available
Dr. Gary’s Best Breed Grain Free Dog Food Review (Dry),30%,16%,Not Available
Dr. Marty Dog Food Review (Freeze-Dried Raw),37%,27%,Not Available
Dr. Tim’s Dog Food Review (Dry),26%,16%,Not Available
Dr. Tim’s Grain Free Dog Food Review (Dry),32%,18%,Not Available
Dynamite Dog Food Review (Dry),24%,16%,Not Available
Eagle Pack Dog Food Review (Dry),25%,12%,Not Available
Earthborn Holistic Grain Free Dog Food Review (Dry),32%,18%,Not Available
Earthborn Holistic Primitive Natural Dog Food Review (Dry),32%,18%,Not Available
Earthborn Holistic Unrefined Dog Food Review (Dry),24%,15%,Not Available
Earthborn Holistic Venture Limited Ingredient Diets Dog Food Review (Dry),26%,13%,Not Available
Essence Dog Food Review (Dry),35%,17%,Not Available
Eukanuba Dog Food Review (Dry),23%,13%,Not Available
Eukanuba Premium Performance Dog Food Review (Dry),30%,20%,Not Available
Evanger’s Dog Food Review (Dry),26%,4%,Not Available
Evanger’s Grain Free Dog Food Review (Dry),33%,16%,Not Available
Evanger’s Hi Bio Dog Food Review (Dry),28%,17%,Not Available
Evolution Diet Dog Food Review (Dry),28%,14%,Not Available
Evolve Classic Dog Food Review (Dry),25%,15%,Not Available
Evolve Grain Free Dog Food Review (Dry),25%,15%,Not Available
Ex-Cell Pro Dog Food Review (Dry),26%,12%,Not Available
Exclusive Dog Food Review (Dry),25%,13%,Not Available
Extreme Dog Fuel Elite Nutrition Dog Food Review (Dry),26%,18%,Not Available
Farmina Ancestral Grain Dog Food Review (Dry),30%,18%,Not Available
Farmina Prime Dog Food Review (Dry),34%,18%,Not Available
Farmina Pumpkin Dog Food Review (Dry),30%,18%,Not Available
First Choice Dog Food Review (Dry),23%,13%,Not Available
FirstMate Dog Food Review (Dry),28%,12%,Not Available
FirstMate Grain-Free Dog Food Review (Dry),24%,13%,Not Available
Forza10 Legend Dog Food Review (Dry),30%,16%,Not Available
Fromm Dog Food Review,25%,16%,Not Available
Fromm Family Classics Dog Food Review (Dry),23%,15%,Not Available
Fromm Family Heartland Gold Dog Food Review (Dry),24%,16%,Not Available
Fromm Four Star Nutritionals Dog Food Review (Dry),24%,15%,Not Available
Fromm Four Star Nutritionals Grain-Free Dog Food Review (Dry),29%,18%,Not Available
Fromm Gold Coast Dog Food Review (Dry),25%,10%,Not Available
Full Balance Dog Food Review (Dry),21%,8%,Not Available
Gather Dog Food Review (Dry),30%,15%,Not Available
Gentle Giants Dog Food Review (Dry),22%,9%,Not Available
Go! Solutions Carnivore Dog Food Review (Dry),34%,16%,Not Available
Go! Solutions Sensitivities Limited Ingredient Dog Food Review (Dry),24%,12%,Not Available
Go! Solutions Skin + Coat Care Dog Food Review (Dry),22%,12%,Not Available
Good Dog Complete Dog Food Review (Dry),24%,20%,Not Available
Grandma Lucy’s Artisan Dog Food Review (Freeze-Dried),26%,13%,Not Available
Grandma Lucy’s Pureformance Dog Food Review (Freeze-Dried),36%,15%,Not Available
Grandma Mae’s Country Naturals Dog Food Review (Dry),24%,14%,Not Available
Grandma Mae’s Country Naturals Grain Free Dog Food Review (Dry),26%,14%,Not Available
Gravy Train Dog Food Review (Dry),17%,8%,Not Available
Great Canadian Dog Food Review (Dry),23%,14%,Not Available
Grreat Choice Dog Food Review (Dry),21%,9%,Not Available
H-E-B Heritage Ranch Dog Food Review (Dry),25%,15%,Not Available
H-E-B Heritage Ranch Grain Free Dog Food Review (Dry),26%,15%,Not Available
H-E-B Texas Pets Dog Food Review (Dry),25%,10%,Not Available
Halo Elevate Dog Food (Dry),32%,18%,Not Available
Halo Freeze-Dried Raw Meal Bites Dog Food Review (Freeze-Dried),40%,33%,Not Available
Halo Grain Free Dog Food Review (Dry),27%,15%,Not Available
Halo Holistic Healthy Grains Dog Food Review (Dry),27%,15%,Not Available
Hank’s Dog Food Review (Dry),29%,20%,Not Available
Happy Paws Dog Food Review (Dry),24%,14%,Not Available
Harvest Blend Dog Food Review (Dry),25%,15%,Not Available
Health Extension Dog Food Review (Dry),24%,18%,Not Available
Health Extension Grain Free Dog Food Review (Dry),25%,15%,Not Available
Heartland Reserve Dog Food Review (Dry),18%,7%,Not Available
Hi-Point Dog Food Review (Dry),28%,15%,Not Available
Hi-Standard Premium Performance Dog Food Review (Dry),26%,18%,Not Available
Hi-Standard Pure Grain Free Dog Food Review (Dry),27%,14%,Not Available
Hi-Standard Ultimate Dog Food Review (Dry),26%,16%,Not Available
Hi-Tor Veterinary Select Dog Food Review (Dry),20%,5%,Not Available
Hill’s Healthy Advantage Dog Food Review (Dry),24%,15%,Not Available
Hill’s Prescription Diet B/D Canine Dog Food Review (Dry),19%,14%,Not Available
Hill’s Prescription Diet C/D Canine Dog Food Review (Dry),22%,17%,Not Available
Hill’s Prescription Diet Derm Complete Dog Food Review (Dry),17%,17%,Not Available
Hill’s Prescription Diet Digestive Care I/D Canine Dog Food Review (Dry),27%,14%,Not Available
Hill’s Prescription Diet W/D Canine Dog Food Review (Dry),21%,13%,Not Available
Hill’s Prescription Diet Weight Loss R/D Canine Dog Food Review (Dry),34%,9%,Not Available
Hill’s Prescription Diet Z/D Canine Dog Food Review (Dry),20%,14%,Not Available
Hill’s Science Diet Adult Perfect Weight Dog Food Review (Dry),29%,11%,Not Available
Hill’s Science Diet Adult Plus Dog Food Review (Dry),19%,14%,Not Available
Hill’s Science Diet Dog Food Review,25%,8%,Not Available
Hill’s Science Diet Grain Free Dog Food Review (Dry),25%,18%,Not Available
Hill’s Science Diet Puppy Food Review (Dry),26%,15%,Not Available
Holistic Select Dog Food Review (Dry),25%,13%,Not Available
Holistic Select Grain Free Dog Food Review (Dry),29%,14%,Not Available
Honest Kitchen Grain Free Dog Food Review (Dehydrated),24%,15%,Not Available
Horizon Amicus Dog Food Review (Dry),30%,16%,Not Available
Horizon Legacy Dog Food Review (Dry),34%,15%,Not Available
Horizon Pulsar Dog Food Review (Dry),28%,15%,Not Available
Hubbard Life Dog Food Review (Dry),22%,12%,Not Available
Hungry Hound Dog Food Review (Dry),16%,6%,Not Available
Hunter’s Special Dog Food Review (Dry),24%,12%,Not Available
Husse Opus Ocean Dog Food Review (Dry),35%,16%,Not Available
I and Love and You Lovingly Simple Dog Food Review (Dry),30%,15%,Not Available
I and Love and You Naked Essentials Dog Food Review (Dry),30%,15%,Not Available
I and Love and You Nude Dog Food Review (Dry),34%,14%,Not Available
I and Love and You Stir and Boom Dog Food Review (Freeze-Dried Raw),22%,12%,Not Available
Iams Proactive Health Dog Food Review (Dry),25%,14%,Not Available
Inception Dog Food Review (Dry),25%,15%,Not Available
Infinia Dog Food Review (Dry),32%,16%,Not Available
Instinct Be Natural Dog Food Review (Dry),25%,14%,Not Available
Instinct Dog Food Review,37%,20%,Not Available
Instinct Limited Ingredient Diet Dog Food Review (Dry),26%,18%,Not Available
Inukshuk Dog Food Review (Dry),30%,25%,Not Available
Ivet Healthy Gourmet Dog Food Review (Dry),23%,13%,Not Available
Jack’s Premium Dog Food Review (Dry),31%,20%,Not Available
Jake’s Choice Dog Food Review (Dry),24%,20%,Not Available
Jinx Dog Food Review (Dry),27%,14%,Not Available
Joy Dog Food Review (Dry),26%,16%,Not Available
K9 Natural Freeze Dried Raw Dog Food Review (Freeze-Dried),48%,34%,Not Available
Kasiks Dog Food Review (Dry),28%,12%,Not Available
Kent Dog Food Review (Dry),27%,10%,Not Available
Kibbles ‘n Bits Dog Food Review (Dry),19%,8%,Not Available
Kinetic Performance Dog Food Review (Dry),30%,20%,Not Available
Kirkland Nature’s Domain Dog Food Review (Dry),24%,14%,Not Available
Kruse’s Dog Food Review (Dry),22%,10%,Not Available
Lassie Natural Way Dog Food Review (Dry),21%,12%,Not Available
Leonard Powell Signature Series Baked Dog Food Review (Dry),24%,12%,Not Available
Leonard Powell Signature Series Classics Dog Food Review (Dry),28%,16%,Not Available
Leonard Powell Signature Series Exotics Dog Food Review (Dry),28%,16%,Not Available
Life’s Abundance Dog Food Review (Dry),26%,16%,Not Available
Lifetime Dog Food Review (Dry),25%,15%,Not Available
LiveSmart Dog Food Review (Dry),24%,14%,Not Available
Lotus Dog Food Review (Dry),24%,12%,Not Available
Lotus Grain Free Dog Food Review (Dry),30%,12%,Not Available
Love Grub Dog Food Review (Dry),25%,15%,Not Available
Loyall Dog Food Review (Dry),26%,18%,Not Available
Loyall Life Dog Food Review (Dry),26%,16%,Not Available
Loyall Life Grain Free Dog Food Review (Dry),26%,15%,Not Available
