Brand,Protein,Fat,Carbs
Maximum Bully Dog Food Review (Dry),32%,22%,Not Available
Member’s Mark Dog Food Review (Dry),26%,14%,Not Available
Merrick Backcountry Raw Infused Grain-Free Dog Food Review (Dry),35%,17%,Not Available
Merrick Dog Food Review,26%,15%,Not Available
Merrick Grain Free Dog Food Review (Dry),32%,15%,Not Available
Merrick Lil’ Plates Dog Food Review (Dry),34%,15%,Not Available
Merrick Limited Ingredient Diet Dog food Review (Dry),23%,14%,Not Available
Mossy Oak Nature’s Menu Dog Food Review (Dry),26%,14%,Not Available
Muenster Ancient Grains Dog Food Review (Dry),30%,21%,Not Available
Muenster Perfect Balance Dog Food Review (Dry),24%,18%,Not Available
National Dog Food Review (Dry),26%,15%,Not Available
Native Performance Dog Food Review (Dry),30%,20%,Not Available
Natural Balance Fat Dogs Review (Dry),26%,8%,Not Available
Natural Balance Limited Ingredient Dog Food Review (Dry),20%,10%,Not Available
Natural Balance Original Ultra Whole Body Health Dog Food Review (Dry),23%,13%,Not Available
Natural Balance Vegetarian Dog Food Review (Dry),18%,8%,Not Available
Nature’s Logic Dog Food Review (Dry),34%,15%,Not Available
Nature’s Recipe Dog Food Review,22%,13%,Not Available
Nature’s Recipe Grain-Free Dog Food Review (Dry),27%,12%,Not Available
Nature’s Select Dog Food Review (Dry),25%,12%,Not Available
Nature’s Select Grain Free Dog Food Review (Dry),33%,16%,Not Available
Northwest Naturals Freeze Dried Raw Dog Food Review (Freeze-Dried),41%,34%,Not Available
Now Fresh Dog Food Review (Dry),27%,17%,Not Available
NRG The Raw One Dog Food Review (Dehydrated),26%,18%,Not Available
Nulo FreeStyle Dog Food Review (Dry),33%,18%,Not Available
Nulo Freestyle Freeze-Dried Raw Dog Food Review (Freeze-Dried),42%,28%,Not Available
Nulo Freestyle Limited Plus Dog Food Review (Dry),30%,18%,Not Available
Nulo Medal Series Dog Food Review (Dry),32%,17%,Not Available
Nunn Better Dog Food Review (Dry),21%,8%,Not Available
Nusentia Raw and Grain Free Dog Food Review (Dehydrated),22%,8%,Not Available
Nutra Nuggets Dog Food Review (Dry),26%,18%,Not Available
Nutram Ideal Solution Dog Food Review (Dry),24%,13%,Not Available
Nutram Sound Dog Food Review (Dry),24%,15%,Not Available
Nutram Total Grain Free Dog Food Review (Dry),32%,17%,Not Available
Nutreco Wholesome Blend Grain Free Dog Food Review (Dry),32%,18%,Not Available
Nutrience Grain Free Dog Food Review (Dry),34%,16%,Not Available
Nutrience Grain Free Subzero Dog Food Review (Dry),38%,18%,Not Available
Nutrience Infusion Dog Food Review (Dry),28%,18%,Not Available
Nutrience Original Dog Food Review (Dry),24%,14%,Not Available
NutriSource Dog Food Review (Dry),23%,14%,Not Available
NutriSource Grain Free Dog Food Review (Dry),25%,15%,Not Available
NutriSource PureVita Dog Food Review (Dry),24%,13%,Not Available
NutriSource PureVita Grain Free Dog Food Review (Dry),24%,16%,Not Available
Nutro Dog Food Review,24%,16%,Not Available
Nutro Limited Ingredient Diet Dog Food Review (Dry),22%,14%,Not Available
Nutro Ultra Dog Food Review (Dry),28%,19%,Not Available
NVC Dog Food Review (Dry),25%,14%,Not Available
NVC Grain Free Dog Food Review (Dry),30%,16%,Not Available
Ol’ Roy Dog Food Review (Dry),21%,10%,Not Available
Old Glory Dog Food Review (Dry),26%,18%,Not Available
Ole Jack’s Dog Food Review (Dry),21%,8%,Not Available
Only Natural Pet Canine PowerFood Dog Food Review (Dry),33%,17%,Not Available
Only Natural Pet EasyRaw Dog Food Review (Dehydrated),32%,8%,Not Available
Only Natural Pet MaxMeat Air Dried Dog Food Review (Dehydrated),36%,18%,Not Available
Only Natural Pet PowerFusion Dog Food Review (Dry),38%,18%,Not Available
Only Natural Pet RawNibs Dog Food Review (Freeze-Dried),55%,14%,Not Available
Only Natural Pet Wholesome Homemade Dog Food Review (Dehydrated),33%,12%,Not Available
Open Farm Grain-Free Dog Food Review (Dry),30%,14%,Not Available
Orijen Amazing Grains Dog Food Review (Dry),38%,18%,Not Available
Orijen Dog Food Review (Dry),38%,18%,Not Available
Orijen Dog Food Review | Canada (Dry),38%,18%,Not Available
Orijen Freeze-Dried Dog Food Review,40%,34%,Not Available
Oven-Baked Tradition Dog Food Review (Dry),25%,14%,Not Available
Oven-Baked Tradition Grain Free Dog Food Review (Dry),34%,18%,Not Available
Party Animal Dog Food Review (Dry),23%,14%,Not Available
Paw Tree Dog Food Review (Dry),24%,12%,Not Available
Paw Tree Grain Free Dog Food Review (Dry),28%,10%,Not Available
PC Nutrition First Dog Food Review (Dry),26%,15%,Not Available
Pedigree Dog Food Review (Dry),22%,10%,Not Available
Performatrin Ultra Dog Food Review (Dry),28%,14%,Not Available
Performatrin Ultra Grain Free Dog Food Review (Dry),37%,16%,Not Available
Pet Chef Express Dog Food Review (Dry),25%,14%,Not Available
Pet Pantry Dog Food Review (Dry),25%,14%,Not Available
Pet Shoppe Dog Food Review (Dry),21%,10%,Not Available
PetGuard Dog Food Review (Dry),27%,15%,Not Available
PetKind Tripe Dog Food Review (Dry),30%,16%,Not Available
PetWay Dog Food Review (Dry),25%,14%,Not Available
Pinnacle Grain Free Dog Food Review (Dry),26%,15%,Not Available
PMI Nutrition Dog Food Review (Dry),23%,16%,Not Available
Pride Dog Food Review (Dry),26%,18%,Not Available
Primal Freeze-Dried Formula Dog Food Review (Freeze-Dried),47%,25%,Not Available
Pro Pac Ultimates Dog Food Review (Dry),22%,12%,Not Available
Pro-Form Dog Food Review (Dry),27%,17%,Not Available
Pro-Pet Dog Food Review (Dry),26%,16%,Not Available
Professional Plus Dog Food Review (Dry),26%,15%,Not Available
Pronature Holistic Dog Food Review (Dry),24%,14%,Not Available
Pronature Holistic Grain Free Dog Food Review (Dry),30%,20%,Not Available
ProSeries Dog Food Review (Dry),26%,15%,Not Available
Pure Balance Dog Food Review (Dry),27%,15%,Not Available
Pure Balance Grain Free Dog Food Review (Dry),27%,16%,Not Available
Pure Harmony Dog Food Review (Dry),24%,12%,Not Available
Pureluxe Grain Free Dog Food Review (Dry),28%,18%,Not Available
Purina Beyond Dog Food Review (Dry),24%,14%,Not Available
Purina Beyond Superfood Blend Dog Food Review (Dry),26%,16%,Not Available
Purina Dog Chow Dog Food Review (Dry),21%,10%,Not Available
Purina One Dog Food Review (Dry),26%,16%,Not Available
Purina One True Instinct Dog Food Review (Dry),30%,17%,Not Available
Purina One True Instinct Grain Free Dog Food Review (Dry),30%,17%,Not Available
Purina Pro Plan Bright Mind Dog Food Review (Dry),29%,14%,Not Available
Purina Pro Plan Dog Food Review,26%,16%,Not Available
Purina Pro Plan Puppy Food Review (Dry),28%,13%,Not Available
Purina Pro Plan Sport Dog Food Review (Dry),30%,20%,Not Available
Purina Pro Plan Veterinary Diets EN Dog Food Review (Dry),23%,11%,Not Available
Purina Pro Plan Veterinary Diets HA Dog Food Review (Dry),18%,8%,Not Available
Purina Puppy Chow Review (Dry),28%,12%,Not Available
Q Holistic Dog Food Review (Dry),25%,16%,Not Available
Quality Care Plus Dog Food Review (Dry),26%,15%,Not Available
Rachael Ray Dog Food Review,23%,13%,Not Available
Rachael Ray Nutrish Dish Dog Food Review (Dry),26%,14%,Not Available
Rachael Ray Nutrish Limited Ingredient Dog Food Review (Dry),20%,13%,Not Available
Rachael Ray Nutrish Peak Dog Food Review (Dry),30%,15%,Not Available
Rachael Ray Nutrish Zero Grain Dog Food Review (Dry),26%,14%,Not Available
RAWZ Limited Recipe Dog Food Review (Dry),23%,12%,Not Available
RAWZ Meal Free Dog Food Review (Dry),40%,12%,Not Available
Real Meat Company Dog Food Review (Air-Dried),30%,23%,Not Available
Red Flannel Dog Food Review (Dry),26%,18%,Not Available
Redbarn Air Dried Dog Food Review (Dry),32%,22%,Not Available
Redbarn Grain Free Dog Food Review (Dry),28%,15%,Not Available
Redbarn Whole Grain Dog Food Review (Dry),26%,15%,Not Available
Redford Naturals Dog Food Review (Dry),24%,14%,Not Available
Redpaw PowerEdge Dog Food Review (Dry),32%,20%,Not Available
Redpaw X-Series Dog Food Review (Dry),26%,16%,Not Available
Regal Dog Food Review (Dry),25%,16%,Not Available
Renew Gold Balance Dog Food Review (Dry),26%,18%,Not Available
Retriever Dog Food Review (Dry),27%,15%,Not Available
Rex Dog Food Review (Dry),27%,15%,Not Available
River Run Dog Food Review (Dry),27%,15%,Not Available
Royal Canin Breed Health Nutrition Puppy Dog Food Review (Dry),27%,14%,Not Available
Royal Canin Dog Food Review,28%,11%,Not Available
Royal Canin Lifestyle Health Nutrition Urban Life Dog Food Review (Dry),23%,12%,Not Available
Royal Canin Size Health Nutrition Giant Dog Food Review (Dry),26%,18%,Not Available
Royal Canin Size Health Nutrition Large Dog Food Review (Dry),24%,15%,Not Available
Royal Canin Size Health Nutrition Medium Dog Food Review (Dry),23%,12%,Not Available
Royal Canin Size Health Nutrition Small Dog Food Review (Dry),25%,14%,Not Available
Royal Canin Size Health Nutrition X-Small Dog Food Review (Dry),22%,16%,Not Available
Royal Canin Veterinary Diets Selected Protein Dog Food Review (Dry),19%,10%,Not Available
Satori Dog Food Review (Dry),33%,17%,Not Available
Seminole Feed Dog Food Review (Dry),26%,18%,Not Available
Shep Dog Food Review (Dry),21%,10%,Not Available
ShowTime Dog Food Review (Dry),27%,20%,Not Available
Simply Nourish Grain Free Dog Food Review (Dry),27%,16%,Not Available
Simply Nourish Limited Ingredient Diet Dog Food Review (Dry),26%,13%,Not Available
Simply Nourish Original Dog Food Review (Dry),25%,13%,Not Available
Simply Nourish Source Dog Food Review (Dry),34%,15%,Not Available
Simply Right Dog Food Review (Dry),26%,14%,Not Available
Simply Right Exceed Dog Food Review (Dry),26%,15%,Not Available
Skoki Dog Food Review (Dry),26%,12%,Not Available
Sojos Complete Dog Food Review (Freeze-Dried),28%,12%,Not Available
Solid Gold Dog Food Review (Dry),24%,12%,Not Available
Solid Gold Grain Free Dog Food Review (Dry),30%,18%,Not Available
Sonny’s Pride Dog Food Review (Dry),26%,18%,Not Available
South Star Grain Free Dog Food Review (Dry),27%,13%,Not Available
Southern States Advanced Dog Food Review (Dry),26%,18%,Not Available
Southern States Naturals Dog Food Review (Dry),26%,16%,Not Available
Sport Dog Food Active Series Dog Food Review (Dry),30%,15%,Not Available
Sport Dog Food Elite Series Dog Food Review (Dry),30%,5%,Not Available
Sport Dog Food K-9 Series Dog Food Review (Dry),31%,22%,Not Available
Sportmix CanineX Dog Food Review (Dry),30%,22%,Not Available
Sportmix Original Dog Food Review (Dry),21%,8%,Not Available
Sportmix Premium Dog Food Review (Dry),26%,18%,Not Available
Sportsman’s Pride Dog Food Review (Dry),26%,18%,Not Available
Spot and Tango UnKibble Dog Food Review (Dry),27%,16%,Not Available
Spot Farms Grain Free Dog Food Review (Dehydrated),26%,16%,Not Available
SquarePet Dog Food Review (Dry),41%,21%,Not Available
Star Pro Dog Food Review (Dry),27%,12%,Not Available
Stella and Chewy’s Freeze Dried Dinners Dog Food Review (Freeze-Dried),48%,28%,Not Available
Stella and Chewy’s Raw Blend Dog Food Review (Dry),36%,15%,Not Available
Stella and Chewy’s Raw Coated Kibble Dog Food Review (Dry),27%,17%,Not Available
Strongpoint Dog Food Review (Dry),24%,15%,Not Available
Summit Dog Food Review (Dry),23%,11%,Not Available
Sundays Food for Dogs Review (Dehydrated),30%,20%,Not Available
Supreme Source Dog Food Review (Dry),26%,11%,Not Available
Taste of the Wild Ancient Grains Dog Food Review (Dry),32%,18%,Not Available
Taste of the Wild Dog Food Review,32%,18%,Not Available
Taste of the Wild Prey Dog Food Review (Dry),27%,15%,Not Available
Tender and True Dog Food Review (Dry),26%,16%,Not Available
The Honest Kitchen Dog Food Review (Dehydrated),25%,14%,Not Available
The Honest Kitchen Whole Food Clusters Review (Dry),26%,15%,Not Available
Tiki Dog Aloha Petites Dog Food Review (Dry),27%,16%,Not Available
TimberWolf Legends Dog Food Review (Dry),40%,18%,Not Available
TLC Whole Life Dog Food Review (Dry),26%,16%,Not Available
Tops Dog Food Review (Dry),26%,11%,Not Available
Total Canine Dog Food Review (Dry),24%,18%,Not Available
Trader Joe’s Dog Food Review (Dry),23%,12%,Not Available
Triumph Wild Spirit Dog Food Review (Dry),25%,15%,Not Available
True Acre Dog Food Review (Dry),24%,13%,Not Available
Tuffy’s Dog Food Review (Dry),21%,10%,Not Available
Tuffy’s Gold Dog Food Review (Dry),26%,18%,Not Available
Tuscan Natural Carne Dog Food Review (Dry),35%,20%,Not Available
Tuscan Natural Harvest Dog Food Review (Dry),24%,14%,Not Available
Tuscan Natural Simply Pure Dog Food Review (Dry),21%,11%,Not Available
Twin Pet Dog Food Review (Dry),17%,7%,Not Available
V-Dog Dog Food Review (Dry),24%,9%,Not Available
Valens Dog Food Review (Dry),30%,18%,Not Available
Valiant Pet Nutrition Raw Dog Food Review (Freeze-Dried),36%,41%,Not Available
Variety Dog Food Review (Dry),21%,10%,Not Available
VeRUS Dog Food Review (Dry),24%,15%,Not Available
Victor Classic Dog Food Review (Dry),30%,20%,Not Available
Victor Purpose Dog Food Review (Dry),38%,18%,Not Available
Victor Select Dog Food Review (Dry),33%,16%,Not Available
Wag Dog Food Review (Dry),35%,15%,Not Available
Wegmans Bruiser Dog Food Review (Dry),21%,10%,Not Available
Wegmans Nature Dog Food Review (Dry),25%,15%,Not Available
Wellness Complete Health Dog Food Review (Dry),24%,12%,Not Available
Wellness Complete Health Grain Free Dog Food Review (Dry),26%,12%,Not Available
Wellness Core Digestive Health Dog Food Review (Dry),30%,12%,Not Available
Wellness Core Grain Free Dog Food Review (Dry),34%,16%,Not Available
Wellness Core RawRev Dog Food Review (Dry),38%,17%,Not Available
Wellness Core Reduced Fat Dog Food Review (Dry),33%,10%,Not Available
Wellness Core with Wholesome Grains Dog Food Review (Dry),34%,16%,Not Available
Wellness Simple Limited Ingredient Dog Food Review (Dry),26%,11%,Not Available
Whole Earth Farms Dog Food Review (Dry),25%,14%,Not Available
Whole Earth Farms Grain Free Dog Food Review (Dry),24%,14%,Not Available
Whole Life LifeBites Dog Food Review (Freeze-Dried),49%,25%,Not Available
WholeHearted Grain Free Dog Food Review (Dry),27%,10%,Not Available
Wholesomes Dog Food Review (Dry),24%,14%,Not Available
Wholesomes Grain-Free Dog Food Review (Dry),23%,12%,Not Available
Wishbone Dog Food Review (Dry),26%,12%,Not Available
Wysong Archetype Dog Food Review (Freeze-Dried),48%,21%,Not Available
Wysong Epigen 90 Dog Food Review (Dry),63%,16%,Not Available
Wysong Epigen Dog Food Review (Dry),60%,15%,Not Available
Wysong Original Diets Dog Food Review (Dry),30%,14%,Not Available
Young Again Dog Food Review (Dry),40%,16%,Not Available
Zach’s Quality Dog Food Review (Dry),28%,19%,Not Available
Zignature Dog Food Review (Dry),32%,15%,Not Available
Ziwi Peak Air Dried Dog Food Review (Dehydrated),38%,30%,Not Available
Zoe Dog Food Review (Dry),24%,14%,Not Available
